Sample Number,Name,Depth From,Depth To,X,Y,Z,Length,Al2O3,Fe,Fe (raw + gaussian),final lithology,final lithology-sel[Rich ore],final lithology-sel[Poor ore],Indicator rich ore,Mn,P,SiO2
1740,Line#99,27.8,42.8,2308.00,970.00,634.10,15,,20.39,,Poor ore,0,1,0.00,1.14,0.08,
1741,Line#99,42.8,57.8,2308.00,970.00,619.10,15,,17.13,,Poor ore,0,1,0.00,1.20,0.07,
1742,Line#99,57.8,72.8,2308.00,970.00,604.10,15,,10.46,,Poor ore,0,1,0.00,0.46,0.05,
1743,Line#99,72.8,80.3,2308.00,970.00,592.85,7.5,,8.90,,Poor ore,0,1,0.00,0.31,0.05,
1744,Line#100,0,4,2400.00,970.00,627.20,4,,,,Rich ore,1,0,1.00,,,
1745,Line#100,4,19,2400.00,970.00,617.70,15,,24.10,,Poor ore,0,1,0.00,1.21,0.05,
1746,Line#100,19,34,2400.00,970.00,602.70,15,,19.43,,Poor ore,0,1,0.00,1.04,0.04,
1747,Line#100,34,49,2400.00,970.00,587.70,15,,12.11,,Poor ore,0,1,0.00,0.88,0.02,
1748,Line#100,49,64,2400.00,970.00,572.70,15,,7.40,,Poor ore,0,1,0.00,0.61,0.03,
1749,Line#100,64,79,2400.00,970.00,557.70,15,,7.40,,Poor ore,0,1,0.00,0.61,0.03,
1750,Line#100,79,94,2400.00,970.00,542.70,15,,7.40,,Poor ore,0,1,0.00,0.61,0.03,
1751,Line#100,94,116.05,2400.00,970.00,524.18,22.05,,7.40,,Poor ore,0,1,0.00,0.61,0.03,
1752,Line#101,0,15,2600.00,970.00,592.20,15,,44.94,,Poor ore,0,1,0.00,0.09,0.16,
1753,Line#101,15,30,2600.00,970.00,577.20,15,,29.22,,Poor ore,0,1,0.00,0.16,0.14,
1754,Line#101,30,51.31,2600.00,970.00,559.05,21.31,,16.98,,Poor ore,0,1,0.00,0.38,0.06,
1755,Line#105,0,15,1605.28,799.81,623.90,15,,64.77,-0.79,Rich ore,1,0,1.00,0.04,0.24,
1756,Line#105,15,30,1619.83,803.44,623.93,15,,66.79,0.05,Rich ore,1,0,1.00,0.12,0.08,
1757,Line#105,30,45,1634.39,807.07,623.97,15,,65.96,-0.32,Rich ore,1,0,1.00,0.60,0.11,
1758,Line#105,45,60,1648.94,810.69,624.00,15,,67.03,0.19,Rich ore,1,0,1.00,0.20,0.07,
1759,Line#105,60,75,1663.50,814.32,624.04,15,,66.99,0.17,Rich ore,1,0,1.00,0.18,0.07,
1760,Line#105,75,90,1678.05,817.95,624.07,15,,67.59,0.58,Rich ore,1,0,1.00,0.27,0.05,
1761,Line#105,90,105,1692.61,821.57,624.11,15,,68.15,1.13,Rich ore,1,0,1.00,0.19,0.03,
1762,Line#105,105,120,1707.16,825.20,624.14,15,,68.45,1.58,Rich ore,1,0,1.00,0.18,0.02,
1763,Line#105,120,135,1721.72,828.82,624.17,15,,68.16,1.16,Rich ore,1,0,1.00,0.47,0.02,
1764,Line#105,135,150,1736.27,832.45,624.21,15,,68.17,1.20,Rich ore,1,0,1.00,0.37,0.02,
1765,Line#105,150,165,1750.83,836.08,624.24,15,,65.92,-0.33,Rich ore,1,0,1.00,1.74,0.02,
1766,Line#105,165,180,1765.38,839.70,624.28,15,,68.19,1.21,Rich ore,1,0,1.00,0.35,0.02,
1767,Line#105,180,195,1779.94,843.33,624.31,15,,67.84,0.82,Rich ore,1,0,1.00,0.40,0.03,
1768,Line#105,195,210,1794.49,846.96,624.35,15,,68.17,1.19,Rich ore,1,0,1.00,0.37,0.04,
1769,Line#105,210,225,1809.05,850.58,624.38,15,,68.44,1.55,Rich ore,1,0,1.00,0.25,0.03,
1770,Line#105,225,240,1823.60,854.21,624.42,15,0.33,68.55,1.82,Rich ore,1,0,1.00,0.24,0.04,0.61
1771,Line#105,240,255,1838.16,857.84,624.45,15,0.35,68.54,1.77,Rich ore,1,0,1.00,0.23,0.04,0.65
1772,Line#105,255,265.498,1850.53,860.92,624.48,10.4979,0.53,68.16,1.16,Rich ore,1,0,1.00,0.25,0.05,0.70
1773,Line#106,0,15,2103.00,703.00,721.86,15,1.48,65.22,-0.60,Rich ore,1,0,1.00,0.05,0.18,0.58
1774,Line#106,15,30,2103.00,703.00,706.86,15,0.95,66.96,0.15,Rich ore,1,0,1.00,0.10,0.06,0.79
1775,Line#107,0,15,1010.00,-100.00,752.60,15,1.18,65.74,-0.43,Rich ore,1,0,1.00,0.03,0.21,0.46
1776,Line#107,15,35,1010.00,-100.00,735.10,20,0.83,67.77,0.74,Rich ore,1,0,1.00,0.18,0.06,0.52
1777,Line#108,0,15,1106.00,1.00,747.90,15,1.51,65.06,-0.68,Rich ore,1,0,1.00,0.04,0.21,0.53
1778,Line#108,15,37.15,1106.00,1.00,729.32,22.15,0.87,67.52,0.52,Rich ore,1,0,1.00,0.06,0.07,0.58
1779,Line#108,37.15,40,1106.00,1.00,716.82,2.85,,,,,0,0,,,,
1780,Line#109,0,15,1107.00,-99.00,770.68,15,0.78,66.82,0.07,Rich ore,1,0,1.00,0.02,0.09,0.52
1781,Line#109,15,30,1107.00,-99.00,755.68,15,1.40,67.38,0.42,Rich ore,1,0,1.00,0.04,0.05,0.72
1782,Line#109,30,40,1107.00,-99.00,743.18,10,1.86,67.17,0.27,Rich ore,1,0,1.00,0.06,0.02,0.50
1783,Line#110,0,16.4,1107.00,-199.00,783.68,16.4,11.33,47.29,,Poor ore,0,1,0.00,0.54,0.26,9.01
1784,Line#110,16.4,31.4,1107.00,-199.00,767.98,15,0.84,68.20,1.24,Rich ore,1,0,1.00,0.28,0.02,0.54
1785,Line#110,31.4,40,1107.00,-199.00,756.18,8.6,0.80,68.43,1.50,Rich ore,1,0,1.00,0.15,0.02,0.54
1786,Line#111,0,15,1214.00,3.00,760.44,15,0.78,66.80,0.06,Rich ore,1,0,1.00,0.05,0.14,0.58
1787,Line#111,15,30,1214.00,3.00,745.44,15,0.57,67.73,0.70,Rich ore,1,0,1.00,0.05,0.06,1.09
1788,Line#112,0,15,1210.00,-100.00,787.49,15,0.88,66.60,-0.04,Rich ore,1,0,1.00,0.03,0.13,0.57
1789,Line#112,15,30,1210.00,-100.00,772.49,15,1.83,66.81,0.06,Rich ore,1,0,1.00,0.04,0.04,0.68
1790,Line#112,30,45,1210.00,-100.00,757.49,15,2.35,66.57,-0.05,Rich ore,1,0,1.00,0.04,0.04,0.87
1791,Line#112,45,59.6,1210.00,-100.00,742.69,14.6,3.15,65.64,-0.47,Rich ore,1,0,1.00,0.11,0.02,0.81
1792,Line#112,59.6,60,1210.00,-100.00,735.19,0.4,,,,Poor ore,0,1,0.00,,,
1793,Line#112,60,81.35,1210.00,-100.00,724.32,21.35,1.41,66.65,-0.02,Rich ore,1,0,1.00,0.27,0.02,1.55
1794,Line#112,81.35,90,1210.00,-100.00,709.32,8.65,28.30,21.20,,Poor ore,0,1,0.00,0.19,0.03,33.40
1795,Line#113,0,15,1305.00,1.00,760.31,15,1.22,65.82,-0.40,Rich ore,1,0,1.00,0.04,0.17,0.68
1796,Line#113,15,30,1305.00,1.00,745.31,15,0.62,68.44,1.56,Rich ore,1,0,1.00,0.04,0.05,0.64
1797,Line#113,30,40,1305.00,1.00,732.81,10,1.19,68.11,1.10,Rich ore,1,0,1.00,0.04,0.03,0.58
1798,Line#114,0,15,1305.00,-99.00,789.82,15,0.84,66.98,0.16,Rich ore,1,0,1.00,0.03,0.13,0.30
1799,Line#114,15,30,1305.00,-99.00,774.82,15,0.70,68.22,1.25,Rich ore,1,0,1.00,0.03,0.06,0.56
1800,Line#114,30,40,1305.00,-99.00,762.32,10,0.98,67.99,0.99,Rich ore,1,0,1.00,0.04,0.03,0.90
1801,Line#115,0,15,1306.00,-198.00,802.84,15,1.52,65.76,-0.42,Rich ore,1,0,1.00,0.02,0.21,0.34
1802,Line#115,15,28.6,1306.00,-198.00,788.54,13.6,,46.89,-2.54,Rich ore,1,0,1.00,0.21,0.19,
1803,Line#115,28.6,47.55,1306.00,-198.00,772.26,18.95,24.50,25.63,,Poor ore,0,1,0.00,1.74,0.06,21.95
1804,Line#115,47.55,60,1306.00,-198.00,756.57,12.45,0.74,68.64,1.90,Rich ore,1,0,1.00,0.15,0.01,0.57
1805,Line#116,0,15,1410.00,-98.00,781.36,15,0.73,67.54,0.55,Rich ore,1,0,1.00,0.04,0.06,0.54
1806,Line#116,15,30,1410.00,-98.00,766.36,15,0.99,68.05,1.06,Rich ore,1,0,1.00,0.05,0.02,0.69
1807,Line#116,30,48.25,1410.00,-98.00,749.74,18.25,0.95,67.27,0.35,Rich ore,1,0,1.00,0.11,0.02,1.65
1808,Line#116,48.25,51.2,1410.00,-98.00,739.13,2.95,,,,Poor ore,0,1,0.00,,,
1809,Line#116,51.2,57.4,1410.00,-98.00,734.56,6.2,,,,Rich ore,1,0,1.00,,,
1810,Line#116,57.4,60,1410.00,-98.00,730.16,2.6,,,,,0,0,,,,
1811,Line#117,0,15,1398.00,-289.00,788.80,15,0.97,65.59,-0.50,Rich ore,1,0,1.00,0.03,0.28,0.36
1812,Line#117,15,30,1398.00,-289.00,773.80,15,0.34,68.58,1.83,Rich ore,1,0,1.00,0.03,0.07,0.42
1813,Line#117,30,45,1398.00,-289.00,758.80,15,0.52,68.06,1.08,Rich ore,1,0,1.00,0.04,0.08,0.64
1814,Line#117,45,63.4,1398.00,-289.00,742.10,18.4,0.77,68.06,1.07,Rich ore,1,0,1.00,0.04,0.08,0.49
1815,Line#118,0,15,1502.00,-100.00,767.27,15,0.66,66.79,0.05,Rich ore,1,0,1.00,0.02,0.12,0.42
1816,Line#118,15,30,1502.00,-100.00,752.27,15,0.53,68.16,1.15,Rich ore,1,0,1.00,0.03,0.05,0.75
1817,Line#118,30,44,1502.00,-100.00,737.77,14,2.38,65.73,-0.44,Rich ore,1,0,1.00,0.39,0.03,1.17
1818,Line#118,44,65,1502.00,-100.00,720.27,21,24.72,39.11,,Poor ore,0,1,0.00,0.74,0.10,4.82
1819,Line#119,0,15,1502.00,-202.00,776.88,15,6.58,59.28,-1.69,Rich ore,1,0,1.00,0.06,0.28,0.46
1820,Line#119,15,30,1502.00,-202.00,761.88,15,10.96,56.18,-1.94,Rich ore,1,0,1.00,0.18,0.19,0.52
1821,Line#119,30,40,1502.00,-202.00,749.38,10,0.47,68.75,2.11,Rich ore,1,0,1.00,0.08,0.04,0.47
1822,Line#120,0,15,1500.00,-298.00,783.15,15,0.54,68.73,2.08,Rich ore,1,0,1.00,0.06,0.02,0.47
1823,Line#120,15,30,1500.00,-298.00,768.15,15,1.16,67.95,0.93,Rich ore,1,0,1.00,0.06,0.04,0.62
1824,Line#121,0,15,1700.00,1070.00,709.20,15,0.70,66.85,0.09,Rich ore,1,0,1.00,0.10,0.14,0.70
1825,Line#121,15,30,1700.00,1070.00,694.20,15,0.81,65.61,-0.49,Rich ore,1,0,1.00,2.35,0.05,0.79
1826,Line#122,0,16.1,1700.00,1170.00,713.31,16.1,0.48,67.71,0.68,Rich ore,1,0,1.00,0.13,0.09,0.55
1827,Line#122,16.1,17.3,1700.00,1170.00,704.66,1.2,,,,,0,0,,,,
1828,Line#122,17.3,30,1700.00,1170.00,697.71,12.7,0.52,68.01,1.03,Rich ore,1,0,1.00,0.22,0.04,0.67
1829,Line#123,0,15,1800.00,1068.00,738.13,15,0.48,67.60,0.59,Rich ore,1,0,1.00,0.58,0.07,0.57
1830,Line#123,15,30,1800.00,1068.00,723.13,15,0.75,66.30,-0.20,Rich ore,1,0,1.00,1.49,0.06,0.89
1831,Line#124,0,15,1800.00,1275.00,734.47,15,1.16,65.02,-0.71,Rich ore,1,0,1.00,0.02,0.20,0.52
1832,Line#124,15,30,1800.00,1275.00,719.47,15,1.25,66.88,0.11,Rich ore,1,0,1.00,0.05,0.07,0.58
1833,Line#125,0,15,1899.00,504.00,708.64,15,1.22,65.42,-0.54,Rich ore,1,0,1.00,0.04,0.20,0.59
1834,Line#125,15,30,1899.00,504.00,693.64,15,0.49,68.23,1.29,Rich ore,1,0,1.00,0.03,0.05,0.60
1835,Line#126,0,15,1898.00,604.00,705.82,15,0.75,66.60,-0.04,Rich ore,1,0,1.00,0.03,0.13,0.64
1836,Line#126,15,30,1898.00,604.00,690.82,15,0.38,68.24,1.30,Rich ore,1,0,1.00,0.14,0.03,0.78
1837,Line#127,0,15,1898.00,703.00,706.21,15,1.00,65.63,-0.47,Rich ore,1,0,1.00,0.03,0.14,0.50
1838,Line#127,15,30,1898.00,703.00,691.21,15,0.74,67.91,0.89,Rich ore,1,0,1.00,0.10,0.03,0.88
1839,Line#128,0,15,1896.00,799.00,713.16,15,1.19,64.61,-0.85,Rich ore,1,0,1.00,0.02,0.21,0.55
1840,Line#128,15,30,1896.00,799.00,698.16,15,0.34,67.88,0.86,Rich ore,1,0,1.00,0.07,0.02,1.10
1841,Line#129,0,15,1893.00,896.00,725.16,15,1.41,64.92,-0.74,Rich ore,1,0,1.00,0.02,0.27,0.38
1842,Line#129,15,30,1893.00,896.00,710.16,15,1.07,66.88,0.11,Rich ore,1,0,1.00,0.04,0.10,0.49
1843,Line#130,0,15,1900.00,970.00,735.70,15,1.19,65.54,-0.51,Rich ore,1,0,1.00,0.05,0.18,0.69
1844,Line#130,15,30,1900.00,970.00,720.70,15,0.63,67.17,0.26,Rich ore,1,0,1.00,0.08,0.04,1.32
1845,Line#130,30,40,1900.00,970.00,708.20,10,0.41,67.74,0.71,Rich ore,1,0,1.00,0.09,0.02,1.47
1846,Line#131,0,15,1900.00,1070.00,759.60,15,0.61,67.65,0.62,Rich ore,1,0,1.00,0.16,0.14,0.68
1847,Line#131,15,30,1900.00,1070.00,744.60,15,0.92,67.26,0.35,Rich ore,1,0,1.00,0.30,0.18,1.01
1848,Line#131,30,40,1900.00,1070.00,732.10,10,0.75,65.91,-0.34,Rich ore,1,0,1.00,1.26,0.11,1.42
1849,Line#132,0,15,1900.00,1170.00,752.89,15,2.58,64.41,-0.90,Rich ore,1,0,1.00,0.22,0.22,0.52
1850,Line#132,15,30,1900.00,1170.00,737.89,15,1.93,65.61,-0.49,Rich ore,1,0,1.00,0.64,0.09,1.07
1851,Line#132,30,50,1900.00,1170.00,720.39,20,2.64,64.98,-0.73,Rich ore,1,0,1.00,0.71,0.06,1.05
1852,Line#133,0,15,1892.00,1273.00,733.17,15,1.32,65.89,-0.35,Rich ore,1,0,1.00,0.08,0.16,0.78
1853,Line#133,15,28.4,1892.00,1273.00,718.97,13.4,1.70,63.44,-1.09,Rich ore,1,0,1.00,2.09,0.06,0.99
1854,Line#133,28.4,40,1892.00,1273.00,706.47,11.6,21.97,43.68,,Poor ore,0,1,0.00,1.56,0.07,1.00
1855,Line#134,0,15,1998.00,405.00,722.59,15,1.23,65.87,-0.37,Rich ore,1,0,1.00,0.03,0.17,0.29
1856,Line#134,15,30,1998.00,405.00,707.59,15,0.72,67.42,0.46,Rich ore,1,0,1.00,0.04,0.14,0.47
1857,Line#135,0,15,1998.00,506.00,721.91,15,1.08,65.90,-0.35,Rich ore,1,0,1.00,0.11,0.19,0.46
1858,Line#135,15,30,1998.00,506.00,706.91,15,0.67,66.97,0.15,Rich ore,1,0,1.00,0.12,0.09,0.99
1859,Line#136,0,15,2004.00,703.00,728.15,15,0.87,66.27,-0.22,Rich ore,1,0,1.00,0.07,0.13,0.57
1860,Line#136,15,30,2004.00,703.00,713.15,15,1.16,66.51,-0.11,Rich ore,1,0,1.00,0.14,0.06,0.96
1861,Line#137,0,15,2003.00,800.00,724.36,15,1.52,65.40,-0.55,Rich ore,1,0,1.00,0.07,0.22,0.42
1862,Line#137,15,30,2003.00,800.00,709.36,15,0.76,66.90,0.12,Rich ore,1,0,1.00,0.07,0.10,0.50
1863,Line#138,0,15,2000.00,900.00,729.85,15,0.96,66.18,-0.24,Rich ore,1,0,1.00,0.06,0.17,0.42
1864,Line#138,15,30,2000.00,900.00,714.85,15,0.67,67.97,0.97,Rich ore,1,0,1.00,0.12,0.06,0.53
1865,Line#139,0,11.6,2098.00,406.00,713.25,11.6,3.17,62.57,-1.24,Rich ore,1,0,1.00,0.06,0.23,0.35
1866,Line#139,11.6,30,2098.00,406.00,698.25,18.4,33.38,31.95,,Poor ore,0,1,0.00,0.11,0.25,0.77
1867,Line#140,0,15,1401.00,-145.00,792.25,15,1.30,65.96,-0.32,Rich ore,1,0,1.00,0.04,0.14,0.40
1868,Line#140,15,32.6,1401.00,-145.00,775.95,17.6,2.16,65.80,-0.40,Rich ore,1,0,1.00,0.25,0.08,0.92
1869,Line#140,32.6,47.6,1401.00,-145.00,759.65,15,31.38,32.08,,Poor ore,0,1,0.00,1.20,0.12,4.44
1870,Line#140,47.6,60,1401.00,-145.00,745.95,12.4,23.85,36.06,,Poor ore,0,1,0.00,3.67,0.08,10.25
1871,Line#141,0,15,1400.00,-350.00,755.03,15,0.65,67.13,0.26,Rich ore,1,0,1.00,0.03,0.12,0.40
1872,Line#141,15,30.8,1400.00,-350.00,739.63,15.8,0.65,67.90,0.89,Rich ore,1,0,1.00,0.06,0.14,0.50
1873,Line#141,30.8,44.2,1400.00,-350.00,725.03,13.4,29.66,35.94,,Poor ore,0,1,0.00,0.38,0.50,1.45
1874,Line#142,0,7.45,1601.00,-101.00,747.26,7.45,,,,Rich ore,1,0,1.00,,,
1875,Line#142,7.45,22.45,1601.00,-101.00,736.04,15,31.88,33.71,,Poor ore,0,1,0.00,0.62,0.15,0.89
1876,Line#142,22.45,40,1601.00,-101.00,719.76,17.55,37.20,25.99,,Poor ore,0,1,0.00,2.95,0.12,1.24
1877,Line#143,0,20,1502.00,-149.00,769.48,20,2.04,65.70,-0.45,Rich ore,1,0,1.00,0.26,0.19,0.61
1878,Line#143,20,35,1502.00,-149.00,751.98,15,32.10,32.60,,Poor ore,0,1,0.00,1.47,0.15,1.50
1879,Line#143,35,50,1502.00,-149.00,736.98,15,27.78,29.88,,Poor ore,0,1,0.00,1.05,0.05,13.82
1880,Line#143,50,66.35,1502.00,-149.00,721.31,16.35,29.04,25.40,,Poor ore,0,1,0.00,0.91,0.03,21.58
1881,Line#143,66.35,80,1502.00,-149.00,706.31,13.65,2.38,65.61,-0.48,Rich ore,1,0,1.00,1.00,0.03,0.96
1882,Line#144,0,15,1211.00,-145.00,793.26,15,0.70,67.44,0.47,Rich ore,1,0,1.00,0.04,0.12,0.45
1883,Line#144,15,30,1211.00,-145.00,778.26,15,0.68,68.35,1.40,Rich ore,1,0,1.00,0.07,0.04,0.80
1884,Line#144,30,45,1211.00,-145.00,763.26,15,3.74,65.27,-0.58,Rich ore,1,0,1.00,0.16,0.02,0.48
1885,Line#144,45,63.75,1211.00,-145.00,746.38,18.75,2.58,66.36,-0.18,Rich ore,1,0,1.00,0.21,0.02,0.62
1886,Line#144,63.75,80,1211.00,-145.00,728.88,16.25,32.21,27.28,,Poor ore,0,1,0.00,2.39,0.03,15.40
1887,Line#145,0,15,410.00,320.00,632.70,15,,,,Poor ore,0,1,0.00,,,
1888,Line#145,15,36.82,410.00,320.00,614.29,21.82,,,,Poor ore,0,1,0.00,,,
1889,Line#145,36.82,51.82,410.00,320.00,595.88,15,5.49,61.07,-1.52,Rich ore,1,0,1.00,0.06,0.05,0.58
1890,Line#145,51.82,66.82,410.00,320.00,580.88,15,4.81,62.26,-1.29,Rich ore,1,0,1.00,0.08,0.03,0.83
1891,Line#145,66.82,81.82,410.00,320.00,565.88,15,3.91,63.18,-1.13,Rich ore,1,0,1.00,0.09,0.03,1.14
1892,Line#145,81.82,96.82,410.00,320.00,550.88,15,1.85,65.65,-0.46,Rich ore,1,0,1.00,0.07,0.02,0.70
1893,Line#145,96.82,115.52,410.00,320.00,534.03,18.7,1.33,66.19,-0.24,Rich ore,1,0,1.00,0.07,0.01,0.91
1894,Line#146,0,3.32,810.00,-100.00,718.34,3.32,,,,Poor ore,0,1,0.00,,,
1895,Line#146,3.32,9.12,810.00,-100.00,713.78,5.8,,,,Rich ore,1,0,1.00,,,
1896,Line#146,9.12,24.12,810.00,-100.00,703.38,15,23.27,40.04,,Poor ore,0,1,0.00,0.82,0.20,0.40
1897,Line#146,24.12,39.12,810.00,-100.00,688.38,15,7.47,54.76,,Poor ore,0,1,0.00,3.81,0.08,0.34
1898,Line#146,39.12,54.12,810.00,-100.00,673.38,15,18.38,41.38,,Poor ore,0,1,0.00,4.24,0.11,0.47
1899,Line#146,54.12,69.12,810.00,-100.00,658.38,15,,,,Poor ore,0,1,0.00,,,
1900,Line#146,69.12,88.12,810.00,-100.00,641.38,19,,,,Poor ore,0,1,0.00,,,
1901,Line#147,0,14.27,1210.00,-350.00,703.87,14.27,1.97,65.29,-0.56,Rich ore,1,0,1.00,0.31,0.06,0.78
1902,Line#147,14.27,29.27,1210.00,-350.00,689.23,15,,,,Poor ore,0,1,0.00,,,
1903,Line#147,29.27,44.27,1210.00,-350.00,674.23,15,,,,Poor ore,0,1,0.00,,,
1904,Line#147,44.27,60.81,1210.00,-350.00,658.46,16.54,,,,Poor ore,0,1,0.00,,,
1905,Line#148,0,15,210.00,250.00,642.00,15,,,,Poor ore,0,1,0.00,,,
1906,Line#148,15,23.5,210.00,250.00,630.25,8.5,,,,Poor ore,0,1,0.00,,,
1907,Line#148,23.5,39.47,210.00,250.00,618.01,15.97,5.93,51.87,-2.41,Rich ore,1,0,1.00,0.12,0.03,0.64
1908,Line#148,39.47,54.47,210.00,250.00,602.53,15,,,,Poor ore,0,1,0.00,,,
1909,Line#148,54.47,69.47,210.00,250.00,587.53,15,,,,Poor ore,0,1,0.00,,,
1910,Line#148,69.47,84.47,210.00,250.00,572.53,15,,,,Poor ore,0,1,0.00,,,
1911,Line#148,84.47,105.6,210.00,250.00,554.47,21.13,,,,Poor ore,0,1,0.00,,,
1912,Line#148,105.6,109.2,210.00,250.00,542.10,3.6,,,,Rich ore,1,0,1.00,,,
1913,Line#148,109.2,114.62,210.00,250.00,537.59,5.42,,,,Poor ore,0,1,0.00,,,
1914,Line#148,114.62,124.27,210.00,250.00,530.06,9.65,2.26,62.56,-1.25,Rich ore,1,0,1.00,0.11,0.03,3.07
1915,Line#149,0,4.77,2000.00,300.00,733.62,4.77,,,,Poor ore,0,1,0.00,,,
1916,Line#149,4.77,19.77,2000.00,300.00,723.73,15,0.76,67.29,0.37,Rich ore,1,0,1.00,0.07,0.11,0.41
1917,Line#149,19.77,34.77,2000.00,300.00,708.73,15,1.89,63.72,-1.05,Rich ore,1,0,1.00,0.20,0.06,0.51
1918,Line#149,34.77,49.77,2000.00,300.00,693.73,15,5.07,56.05,-1.96,Rich ore,1,0,1.00,5.86,0.09,0.69
1919,Line#149,49.77,64.77,2000.00,300.00,678.73,15,1.47,65.91,-0.34,Rich ore,1,0,1.00,1.36,0.04,0.49
1920,Line#149,64.77,79.77,2000.00,300.00,663.73,15,1.18,66.38,-0.18,Rich ore,1,0,1.00,0.97,0.04,0.56
1921,Line#149,79.77,94.77,2000.00,300.00,648.73,15,1.27,66.54,-0.07,Rich ore,1,0,1.00,0.63,0.05,0.74
1922,Line#149,94.77,109.77,2000.00,300.00,633.73,15,0.87,67.00,0.18,Rich ore,1,0,1.00,0.53,0.05,0.71
1923,Line#149,109.77,124.77,2000.00,300.00,618.73,15,0.66,67.39,0.44,Rich ore,1,0,1.00,0.52,0.04,0.67
1924,Line#149,124.77,136.38,2000.00,300.00,605.43,11.61,1.92,62.25,-1.29,Rich ore,1,0,1.00,1.75,0.39,2.51
1925,Line#149,136.38,142.29,2000.00,300.00,596.67,5.91,,,,Poor ore,0,1,0.00,,,
1926,Line#150,0,15,1250.00,1370.00,634.90,15,,,,Poor ore,0,1,0.00,,,
1927,Line#150,15,30,1250.00,1370.00,619.90,15,,,,Poor ore,0,1,0.00,,,
1928,Line#150,30,45,1250.00,1370.00,604.90,15,,,,Poor ore,0,1,0.00,,,
1929,Line#150,45,60,1250.00,1370.00,589.90,15,,,,Poor ore,0,1,0.00,,,
1930,Line#150,60,76.73,1250.00,1370.00,574.03,16.73,,,,Poor ore,0,1,0.00,,,
1931,Line#150,76.73,97.75,1250.00,1370.00,555.16,21.02,3.48,54.24,-2.23,Rich ore,1,0,1.00,4.42,0.07,2.38
1932,Line#150,97.75,100.1,1250.00,1370.00,543.48,2.35,,,,Poor ore,0,1,0.00,,,
1933,Line#150,100.1,115.1,1250.00,1370.00,534.80,15,0.88,64.72,-0.81,Rich ore,1,0,1.00,0.57,0.02,1.66
1934,Line#150,115.1,136.7,1250.00,1370.00,516.50,21.6,0.75,64.70,-0.82,Rich ore,1,0,1.00,0.38,0.02,1.67
1935,Line#150,136.7,137.25,1250.00,1370.00,505.42,0.55,,,,Poor ore,0,1,0.00,,,
1936,Line#151,0,15,1700.00,1470.00,714.20,15,0.83,66.28,-0.21,Rich ore,1,0,1.00,0.04,0.19,0.56
1937,Line#151,15,30,1700.00,1470.00,699.20,15,0.33,68.27,1.34,Rich ore,1,0,1.00,0.06,0.04,0.54
1938,Line#151,30,45,1700.00,1470.00,684.20,15,0.71,67.78,0.75,Rich ore,1,0,1.00,0.06,0.04,0.72
1939,Line#151,45,60,1700.00,1470.00,669.20,15,0.95,67.23,0.33,Rich ore,1,0,1.00,0.05,0.04,0.87
1940,Line#151,60,75,1700.00,1470.00,654.20,15,0.72,67.32,0.39,Rich ore,1,0,1.00,0.47,0.04,0.80
1941,Line#151,75,90,1700.00,1470.00,639.20,15,0.54,67.61,0.60,Rich ore,1,0,1.00,0.49,0.04,0.77
1942,Line#151,90,111.9,1700.00,1470.00,620.75,21.9,0.88,67.67,0.64,Rich ore,1,0,1.00,0.22,0.04,0.71
1943,Line#151,111.9,113.75,1700.00,1470.00,608.88,1.85,,,,Poor ore,0,1,0.00,,,
1944,Line#151,113.75,128.75,1700.00,1470.00,600.45,15,0.28,68.49,1.68,Rich ore,1,0,1.00,0.07,0.04,0.48
1945,Line#151,128.75,143.75,1700.00,1470.00,585.45,15,0.47,67.23,0.32,Rich ore,1,0,1.00,0.10,0.05,0.79
1946,Line#151,143.75,152.52,1700.00,1470.00,573.57,8.77,0.59,63.23,-1.13,Rich ore,1,0,1.00,2.64,0.06,1.44
1947,Line#151,152.52,168.04,1700.00,1470.00,561.42,15.52,,,,Poor ore,0,1,0.00,,,
1948,Line#152,0,15,1700.00,1670.00,732.75,15,0.61,67.05,0.21,Rich ore,1,0,1.00,0.09,0.11,0.70
1949,Line#152,15,31.14,1700.00,1670.00,717.18,16.14,0.28,67.74,0.72,Rich ore,1,0,1.00,0.18,0.01,1.19
1950,Line#152,31.14,35.69,1700.00,1670.00,706.84,4.55,,,,Poor ore,0,1,0.00,,,
1951,Line#152,35.69,54.54,1700.00,1670.00,695.13,18.85,0.90,65.98,-0.31,Rich ore,1,0,1.00,0.43,0.02,1.46
1952,Line#152,54.54,55.74,1700.00,1670.00,685.11,1.2,,,,Poor ore,0,1,0.00,,,
1953,Line#152,55.74,70.84,1700.00,1670.00,676.96,15.1,0.75,67.73,0.70,Rich ore,1,0,1.00,0.61,0.01,0.74
1954,Line#152,70.84,71.29,1700.00,1670.00,669.18,0.45,,,,,0,0,,,,
1955,Line#152,71.29,90.74,1700.00,1670.00,659.24,19.45,2.45,64.81,-0.77,Rich ore,1,0,1.00,1.14,0.03,0.66
1956,Line#152,90.74,93.45,1700.00,1670.00,648.15,2.71,,,,Poor ore,0,1,0.00,,,
1957,Line#152,93.45,98.48,1700.00,1670.00,644.28,5.03,,,,Rich ore,1,0,1.00,,,
1958,Line#152,98.48,113.48,1700.00,1670.00,634.27,15,,,,Poor ore,0,1,0.00,,,
1959,Line#152,113.48,121.13,1700.00,1670.00,622.94,7.65,,,,Poor ore,0,1,0.00,,,
